t,Tau_Motor,Tau_1,Tau_2,vel
0,0.0,6.34,4.17,0.0
0,0.0,6.36,4.18,0.0
0,0.0,6.35,4.17,0.0
0,0.0,6.36,4.18,0.0
0,0.0,6.34,4.17,0.0
0,0.0,6.36,4.18,0.0
0,0.0,6.34,4.18,0.0
0,0.0,6.36,4.19,0.0
0,0.0,6.34,4.18,0.0
0,0.0,6.37,4.19,0.0
0,0.0,6.34,4.18,0.0
0,0.0,6.37,4.19,0.0
0,0.0,6.34,4.18,0.0
0,0.0,6.36,4.18,0.0
